mmax,m10,mvir
11.481321772230663,10.974298173764309,14.17868923977559
11.548041913849973,11.204142307796339,14.055378331375
11.553106638995063,11.158332919524648,13.605951157564872
11.709863374498589,11.363028777343777,13.403292145158254
11.64546282509981,11.312360087523547,13.468199586072613
11.590068834245818,11.251355695475402,13.458184435570264
11.604331353710231,11.359375846704491,13.440279213235588
11.455060623125693,11.171282419195622,13.19534605834842
11.581435853248507,11.362626082374916,13.52608069180203
11.503095305994517,11.27857126383647,12.973866449835379
11.522175582381292,11.318113360289576,13.001733712809001
11.572396542588734,11.269691807751736,13.23704079137919
11.451703397389535,11.199114329767704,13.07445071895459
11.543346193802739,11.318656232144232,13.06744284277638
11.561575001214683,11.270364312649416,13.111262513659065
11.462846985722308,11.228160737719891,12.854731017213942
11.578605043055658,11.393682442932842,13.056904851336473
11.524590385252127,11.231929072546107,13.010299956639813
11.516545497398608,11.280783071660862,13.223495940962394
11.485326574395442,11.248971849206837,12.93861978150268
11.455556767958633,11.164362756765895,13.042181594515766
11.563582124517314,11.208254858835215,13.788521887222473
11.748223366103101,11.386906376446621,13.786183345567634
11.465019473835161,11.179614966265502,13.119915410257992
11.755713053982062,11.32759839269811,13.845098040014257
11.70308468396339,11.248067616570825,13.998651595998373
11.654852384546187,11.344558411903282,13.462847035831674
11.673369100662114,11.392582422683809,13.503790683057181
11.564573602204014,11.28429845225207,13.63558426631123
11.54281643551248,11.30021962003837,13.06295783408451
11.559624337087937,11.295125129033455,13.095169351431755
11.50042071458292,11.237560821720061,12.994009033123612
11.813965508267193,11.236166115164988,14.212453961040275
11.677584929162895,11.337920851871425,13.798650645445269
11.538641964753788,11.330436704752705,13.001300933020419
11.6089933460082,11.0859862086103,14.079543007402906
11.457031138429638,11.234515265159088,13.456821348021599
11.45834839315301,11.117349758554202,13.277838333002048
11.539249526896675,11.284355704565359,13.296445794206397
11.550534781495703,11.30605846209334,13.225567713439471
11.602640182541263,11.244814108818671,13.45071087814692
11.554897139568826,11.284694877695658,13.027349607774756
11.499110702925243,11.283671466961914,13.121559844187502
11.77068639812062,11.49642547027791,13.645716939369605
11.457830683625748,11.0870451333009,13.910464315995613
11.52706261892537,11.336254087535593,13.062581984228164
11.45864635364427,11.034955936172663,13.554368000990088
11.79986569908152,11.242431323847653,14.286007122079475
11.567114022613069,11.192873218703097,13.50758603976301
11.536103170283623,11.046461034470678,13.781468142841799
11.48800202232348,11.18317827778855,13.414471949629302
11.641149811453573,11.369019698322347,13.227886704613674
11.4577622977801,11.224794851240148,13.138302698166282
11.470321210296278,11.291239280853462,12.942751920429814
11.59801335661334,11.168577072353624,13.854670331895335
11.538354357948638,11.33857162212477,13.26150077319828
11.472736476810804,11.248711174877108,12.890700397698875
11.725234778702232,11.27388218105653,13.916980047320383
11.773609052406428,11.038849869659,14.728353782021228
11.539196132118354,11.265477939156956,12.991890303936025
11.67360576489342,11.17703597574367,13.875871190727366
11.66659150392703,11.377616435036904,13.416307587059883
11.545217980571717,11.29361816447959,13.171141151028381
11.532909547884127,11.11210342439255,13.734399742520568
11.69914897415048,11.330181559931212,13.263636068588108
11.549839925831911,11.248846424331918,13.264581729238078
11.557862114917404,11.157924930692184,13.45999525604739
11.462573216561704,11.168935111674879,13.366049209800236
11.577240952242526,11.35756863028499,13.157758886046864
11.67173677868759,11.4617571821439,13.307282047033347
11.64680952880411,11.259245948698192,13.666143427291559
11.57804142876234,11.276145003720794,13.598243191653623
11.561488569871322,11.292891619824701,13.225567713439471
11.461868937087576,11.141384300178197,13.492341253254974
11.457710413710586,11.195299877131912,13.380573003066887
11.647773835956938,11.22106869737998,13.543198585637647
11.559991928981784,11.305570821368828,13.466422722433792
11.801150780055565,11.357832791762661,13.603036056250522
11.746475401818602,11.329022717633833,13.477555332198982
11.48734259683553,11.049779235977107,14.081347307804133
11.463005756119609,11.164282580446551,13.19228861256812
11.459520104454997,11.214700000302644,13.22219604630172
11.677607071153606,11.324621965995137,13.573567773039219
11.61509246370906,11.368629394903982,13.158663980813989
11.638956907876413,11.287332923922659,13.84192231167945
11.472162989617436,11.019122377357148,13.655042341331201
11.485180164967364,11.302334852062344,13.02694162795903
11.454070718357881,11.079346462892635,13.433449793761596
11.480739198870994,11.166425746249855,13.059184617631372
11.485153496335037,11.24662714175169,12.998608029315095
11.530937587421326,11.288264886719373,13.458335625991948
11.540433501754626,11.329338339756672,13.413467412985824
11.495352492458162,11.228346212125878,13.169968173996892
11.518825825537558,11.31966398417681,13.295127085252192
11.534157971522795,11.297262898966792,13.153509989300838
11.70157900313222,11.215560554073294,14.029789470831856
11.46159236058062,11.113173999081326,13.270911639410482
11.469465757686377,11.079541978831994,13.971090213137115
11.463348330599972,11.236702024936676,13.11092624226642
11.492706592927826,11.258911188671938,12.929929560084588
11.480460419902201,11.250976855497708,13.011993114659257
11.785354777784399,11.338967294686562,13.660296160270729
11.663630346087384,11.375751523038831,13.39950066131461
11.527955571442144,11.326844916185127,13.201670179646582
11.525459542288523,11.270593403022309,13.167021795790257
11.8148874555737,11.211236759739286,14.357744325180375
11.628157901540325,11.291490018303254,13.290257269394518
11.748238957462386,11.359875990282681,13.560862694727465
11.5008047914975,11.17096843685304,13.418963830703623
11.458623479511353,11.258903226144692,13.007320952922745
11.567795769295993,11.211582476578155,13.50392680419351
11.62315378978285,11.299438720971903,13.229937685907935
11.469038978136753,11.285122366458785,13.018700498666243
11.489112144240146,11.259249911528322,12.972526817865855
11.452335062690397,11.262606967709118,12.877946951629188
11.7665763373979,11.376905241789396,13.744527673472566
11.461384397916003,11.235922186724881,13.401228167498113
11.553004819687036,11.252502744720097,13.432969290874405
11.490902495396833,11.087885284260173,13.403977963669355
11.452971063938763,11.17022912848449,13.003460532109507
11.64106857523639,11.299993535917714,13.424064525417489
11.603485106707343,11.34013790505439,13.298197867109815
11.469926138089976,11.267976578207069,13.33344727449675
11.581806526317814,11.235958963952589,13.640481436970422
11.466533033946142,11.147697497918838,13.535547279176669
11.651548996481177,11.268818159294486,13.48000694295715
11.482722567412623,11.145010506313715,13.143951116423963
11.602014119637788,11.203614250100031,13.890253305154534
11.824001667041534,11.47532834648789,13.690639011715968
11.643105563585188,11.394291729137462,13.581152891966289
11.533165742361845,11.277715350473771,13.216165902285994
11.462149981445844,11.229239787699118,13.068927611682073
11.524726270761734,11.328987756351827,13.064832219738573
11.54077705136613,11.303961203123286,13.012837224705173
11.48872690413163,11.195170824666523,13.142076461073286
11.628057251725428,11.242941789856069,13.635081436010873
11.533889035067055,11.333217485452991,13.03261876085072
11.478091016644871,11.27636935498296,12.965765964182687
11.558273040273125,11.29671349808025,13.171433900943008
11.536257766479547,11.300239157188088,13.229425847920695
11.458849681688763,11.259219662903758,12.938719814782383
11.468833849959749,11.184572667109881,13.149834696715786
11.574532326844105,11.369069842988807,13.098989639401177
11.450385821089485,11.158092432942803,13.156851901070011
11.492115452762656,11.217795021546722,13.172018809424557
11.549825001443955,11.290144519749722,13.006466042249231
11.571832797223834,11.222495161625657,13.207365037469073
11.681747415359483,11.426283224579242,13.234517283512687
11.452414128098246,11.266245221607074,12.929725378378004
11.719227142852375,11.416996722134531,13.67797175281074
11.4741424994157,11.185679925925598,13.053462604925455
11.50536067790422,11.274273370338477,12.94046667766353
11.484900447759808,11.264035595373876,12.93696589710787
11.544602997374865,11.09916333309197,14.062581984228164
11.52474337057367,11.130499402613188,13.585911710319435
11.61640464543294,11.330172748705042,13.14705767102836
11.500073129267427,11.263445571182888,13.241048150671645
11.760331024386534,11.067659464733971,14.76417613239033
11.488352398228226,11.068911477758153,13.869231719730976
11.828756539548388,11.392997226474773,13.895422546039407
11.572539169062402,11.330691760918418,13.580468783951002
11.576933391647755,11.315846523142053,13.145817714491828
11.627749467754116,11.33056752215023,13.403463701345318
11.47129696550379,11.230297628308016,13.21112054125805
11.690830014726387,11.28408238279592,13.47479881880063
11.451577274950383,11.133682214069628,13.126456113431804
11.918885104943648,11.062226369038102,14.76477371691104
11.485196852934804,11.219544749377704,13.351796306897024
11.599110134867212,11.198975375112663,14.02571538390134
11.676662882864184,11.445794827622993,13.404662700873722
11.584264141556652,11.332135938814202,13.128076012668716
11.472079954750503,11.198136237647653,13.20194306340165
11.540249741361993,11.295672615795244,12.988514365833666
11.542648088387375,11.282756655271001,13.543571423962366
11.455486481702692,11.113392528923738,13.429913697763755
11.553216109976127,11.144830672780175,13.64855515566267
11.635094351501424,11.22013279094096,13.618152733378519
11.520897051166969,11.26386653576778,13.387033701282363
11.514102648001625,11.204227873461441,13.006466042249231
11.632162145548344,11.378045213714298,13.42209716313171
11.556416043543093,11.243575327384649,13.143014800254095
11.543438564325193,11.302429424546723,13.404149249209695
11.604217301649536,11.168570247403903,13.589167390546047
11.707372534500507,11.357196293301778,13.572523097849638
11.452999700643058,11.119305255721896,13.907303848833969
11.784804013360526,11.385168509620192,13.57978359661681
11.77492953743757,11.475358379423673,13.790425917391111
11.538212333879526,11.29885346592193,13.086359830674748
11.459698282848304,11.27158224705469,12.880527778198806
11.6679895766956,11.293572592779995,13.85205280869785
11.510642335605587,11.17332857595869,13.071513805095089
11.460178830046258,11.186795991531536,12.97483395504854
11.489328580025633,11.308800038109599,12.944877305963695
11.474245723928851,11.211527366063375,12.908645838907113
11.540859280580708,11.292255371090175,13.027757204690554
11.795041164586781,11.220650499881902,14.197831693328903
11.51960868861067,11.098178545639263,13.58489634413745
11.516645489399846,11.206453340694113,13.535547279176669
11.686128741282545,11.258255117601719,13.702775077901045
11.759078452419548,11.418876276684012,13.50215389287136
11.493131599805823,11.254851027583788,12.91397271155097
11.565217094015955,11.26652914415704,13.244029589030022
11.528949637227722,11.199088319077008,13.464191370641
11.592925745253035,11.337413508863168,13.236537261488694
11.463693631533214,11.251930008959537,12.889133555966724
11.498286622853142,11.298045281950476,12.945370094490304
11.510467633622575,11.241950508472677,13.059184617631372
11.55473429983197,11.35885723349773,13.03981055414835
11.454822881306965,11.266072632768719,12.857995495560925
11.5932873656088,11.261084080452592,13.344588742578713
11.554454988572596,11.360203120326682,13.042575512440191
11.524044777334021,11.173926650845221,13.241546480596549
11.464599899855063,11.231339409157773,12.965812953036602
11.517788656207893,11.24070793260735,13.026124516745451
11.464948294126811,11.213894401652727,12.951531790542347
11.526683167874994,11.242809127455548,13.016197353512439
11.762190601786907,11.345624807748635,14.012415374762433
11.529341766321073,11.260788161791332,13.006893707947901
11.820042098612772,11.348536384297757,13.80475260215046
11.47080394521342,11.226850180912079,12.953276336667304
11.510792689040215,11.226061013988387,13.345569756056392
11.520339487337807,11.274236205513029,12.96482511788339
11.783805822342588,11.37787850346043,13.696356388733331
11.622479735531547,11.387950014661147,13.335457900689384
11.601391848094579,11.33865958693746,13.34183005692051
11.465398866864941,11.255614403513222,13.08421868673924
11.559293967728152,11.30570803794652,13.264581729238078
11.623744731048257,11.311063471577832,13.518645524330312
11.517199705358852,11.211506705220572,13.716253825896036
11.47618044245334,11.297512064083097,12.999043499603163
11.505174054592008,11.312510890547061,12.943296614566655
11.71816150064697,11.222456783956622,13.992686039162129
11.529570961491984,11.226915094295075,13.172310968521954
11.454033083351415,11.20137416915004,12.89242854694523
11.510202541412996,11.196007365549825,13.161966616364074
11.4532628559718,11.126559206872761,13.186391215695494
11.483719756292544,11.174012167059898,12.896471100479276
11.76899709566441,11.368171833214113,13.886829004676983
11.739374836186737,11.413687609384453,13.733758835587203
11.531552112621053,11.248273440152943,13.917347937627772
11.624865337433219,11.380352877158893,13.8481891169914
11.475608290501501,11.244593163816832,13.22219604630172
11.56223185434678,11.218628502333136,13.612889769287484
11.652487300954547,11.341426344398691,13.398113691730503
11.483763754027278,11.143603069851256,13.161068385471175
11.601820502865872,11.281618962750306,13.218010042984364
11.525376535670878,11.131826058918179,13.640481436970422
11.5357315095261,11.245556330595571,13.003460532109507
11.461571584203686,11.273332991641983,12.85751341477669
11.530739890877014,11.348453784737819,12.977769318091575
11.50070728123443,11.264508686170558,12.95861165776488
11.739681854648959,11.451266015625427,13.461648568063454
11.540099869350769,11.244718066472155,13.788026884095803
11.530331721579257,11.248026466665502,13.277150613963796
11.565723642930163,11.21634130793351,13.73980959902136
11.59446155986761,11.32158446796136,13.241297387109993
11.508454672693508,11.235753540881806,13.6036855496147
11.479512712582636,11.166625146125998,13.247236549506765
11.454714432029785,11.197163964671518,13.29754166781816
11.481207131392583,11.27820729185159,13.050379756261458
11.603311868557014,11.318201364885137,13.376394442037267
11.488834862369226,11.301850400063799,12.955302822761691
11.71343804126059,11.376013682579357,13.809828961067886
11.540086020298693,11.266022712621002,13.246744709723842
11.459956913536498,11.264635572360715,13.048053173115608
11.49638463286451,10.977894710911498,13.910464315995613
11.527955214209525,11.164872456212104,13.695831772826692
11.506951864944444,11.198465856023105,13.320354032817672
11.492379531760518,11.05697961337158,13.565493629868863
11.489053545803342,11.22294503451232,13.212453961040275
11.547403061966167,11.13264222573567,13.565729787831128
11.59398936372796,11.30057547165686,13.700617195682057
11.479663123801704,11.073545396687658,13.586587304671754
11.610557481116603,11.28170305925183,13.528402437953618
11.560516493284545,11.18981793398425,13.575880315680646
11.45562660392581,11.23030577876666,13.022840610876528
11.625971091112056,11.24556772526967,13.61066016308988
11.512540783628559,11.232971758739206,13.004321373782643
11.555565308014392,11.192206146254563,13.316389751073196
11.563055943495236,11.240052133909776,13.519171463821658
11.456202474492335,11.151351895702259,13.424881636631067
11.54858099212599,11.347259903356044,13.112605001534574
11.745649266878502,11.386445158823127,13.391640703492389
11.47290973393884,11.000257501321004,14.006893707947901
11.789541580649196,11.344630918117435,13.793580867368156
11.607685500620438,11.28079218160873,13.413969971748061
11.634789693240362,11.397840181824613,13.375663613960885
11.509979719038231,11.225320295411045,12.950316163924601
11.578997555685179,11.283043765831277,13.382377303468113
11.478511073996735,11.294814373916083,13.080626486921807
11.842557621581184,11.346418625931138,14.109578546904388
11.827482994532643,11.437459445991752,13.57576498053672
11.704488517245583,11.415613246568368,13.353916230920364
11.452463471315719,11.258930909055074,13.12515582958053
11.45265208833645,11.195457711215596,12.837651557846392
11.80747668810453,11.39762457244178,13.769303460189082
11.637481014547618,11.364287697146612,13.438542348786111
11.463723713306484,11.216405957335605,12.860218184668756
11.489420380121304,11.18029217267255,13.396896449142524
11.510024108184695,11.257019456267646,13.389343311252079
11.462746830638975,11.236238907940443,12.938319543342155
11.754947208591156,11.239489637562793,14.002166061756508
11.55810018001825,11.305289413672096,13.172894697752175
11.46779297670814,11.183382557295158,13.186391215695494
11.502527576555243,11.251383996407105,13.293804359919337
11.628134480976845,11.400257563933321,13.396199347095736
11.475364527416701,11.207347263112908,13.558108301630549
11.556319495496767,11.193444159606479,13.565965817446667
11.591568245583897,11.245761710734095,13.817499261867757
11.710823060751956,11.345326161974628,13.804412059137714
11.542155293103875,11.113426957131171,13.791620482692814
11.457914023644692,11.13371063243918,13.2405492482826
11.481976017845524,11.16104025016065,13.344981413927258
11.564898473719593,11.320454334500901,13.062581984228164
11.525795757959314,11.297125364200802,13.04493154614916
