mmax,m10,mvir
11.590180035997143,11.176575833113027,13.87989832433001
11.472650642492901,11.25716157742169,12.91126417099837
11.455582926379392,11.260021005903972,13.164947372621842
11.478862245061752,11.096705617160788,13.53832233323144
11.474510792641238,11.234461894842331,12.938319543342155
11.473180002163701,11.255666441624886,13.011147360775798
11.569325253862429,11.211942362996046,13.688241795977712
11.587811951994432,11.37959471785337,13.242541428298384
11.494582150079014,11.256703164289682,13.157758886046864
11.504828447055012,11.205185948545957,13.147367107793787
11.674884977896278,11.304811127295364,13.491081413423187
11.456422182586698,11.217656857271042,13.216429830876251
11.514965753569541,11.240168110182802,13.031004281363536
11.637168238128353,11.39126875714251,13.240049772112648
11.480155386710564,11.21113345451891,13.210586024905156
11.804021563001353,11.400724910900063,13.809222921689422
11.514014355325104,11.229659949399322,13.243038048686294
11.513870876836764,11.110971156837266,13.617524534886293
11.875810324906332,11.48042046684846,13.741466761769756
11.665402783721257,11.256538584226986,13.897846931579572
11.6141739753406,11.281147325291617,13.238547887681328
11.503264091779924,11.245100484426734,13.434888120867315
11.561502726005584,11.206861314118346,13.441223674242613
11.766496577115872,11.369114562383414,13.52283531366053
11.466794070298338,11.265223201228554,12.932118472029122
11.479521511590448,11.185018120206815,13.423900918528417
11.865695122943812,11.403099404843278,13.775828814464612
11.763350177778008,11.331304488296684,13.797198269838958
11.621602144289396,11.330107302770601,13.219846386024361
11.505259063891561,11.260917878797779,13.00043407747932
11.536965037977755,11.245277105523499,13.083860800866573
11.795713819392345,11.380914678499103,13.593175263478102
11.454914062303002,11.233485382362606,13.193402903062417
11.61674611177725,11.286840337024012,13.235275876687053
11.623121613038249,11.246173246240861,13.854609638095795
11.688645295246577,11.314922192522234,13.409595019396816
11.4714783825667,11.27947280850524,13.090963076595731
11.588516790757815,11.327876070989392,13.254548077108973
11.654997435452591,11.253359934593568,13.838408278494187
11.597154004910008,11.357501998469996,13.113609151073028
11.627605192003347,11.322690565395204,13.729812507160936
11.551312101453496,11.324331617209422,13.00902574208691
11.634018911100771,11.119692888739012,14.286007122079475
11.670038334913963,11.253651761450739,13.844849800806639
11.582922724993937,11.29200061241204,13.263399331334002
11.516487544431556,11.25588231272912,13.527758752520972
11.584833932362619,11.325707893936272,13.268577971882843
11.638896180731164,11.346120719289575,13.673941998634088
11.481410607442625,11.268219469955032,13.04375512696868
11.535560288486515,11.25937957035478,13.127428777851598
11.735924369633969,11.392548151557115,13.372175286115064
11.71037095657097,11.383120839947821,13.781539968605943
11.450008129038103,11.15883062613702,13.163757523981955
11.475131018349556,11.234306032919617,13.193124598354462
11.525619830090736,11.204296196517017,13.005180512503781
11.458276459018572,11.141186572618594,13.11826472608948
11.525820421812796,11.281423910045698,13.072249897613515
11.465727511713713,11.277806304083764,12.940217555599736
11.533523339900016,11.216467406364737,13.06744284277638
11.642133722619354,11.26950928960531,13.370513089598592
11.481230566009012,11.227266740379838,13.439963935920904
11.465266168130144,11.18195979830775,13.525951341248012
11.485548600516772,11.242213215551457,12.940416864681666
11.533833039497534,11.229090143398931,13.711047603867033
11.576521437231968,11.282437810828208,13.226857570288724
11.47490787075484,11.2222450483974,13.24699069924155
11.470714919341416,11.16845992056761,13.869525062857226
11.579255800756044,11.202486125018604,13.611617110554336
11.511858065203512,11.168231556766067,13.210853365314893
11.813296430117656,11.52620764185086,13.53668467262093
11.471825909916454,11.1940351180353,13.177536499929863
11.604717848406588,11.277880090933753,13.633569442554093
11.698680379231725,11.301179427945359,14.036229544086295
11.741579282296282,11.290494803474463,13.90757257879855
11.62902188667389,11.325056345340613,13.310268366632448
11.732139661179032,11.410964333251922,13.538824988937904
11.471459823262878,11.25779992042695,12.920018916028916
11.455745961249352,11.276309858803335,12.88570038012833
11.599857063006041,11.268522533480333,13.263636068588108
11.483055136618834,11.069066323395214,13.988157472556752
11.510911845065348,11.241787000416844,12.959566046637928
11.672280897776565,11.405983233935777,13.473340964185935
11.60929872429629,11.368788090201827,13.632356046239073
11.589445232104975,11.324774579114157,13.474216264076254
11.855358604608856,11.401704026799134,13.660201201380682
11.64050964827372,11.196756609502822,13.74374487859246
11.483068278621978,11.103603741156265,14.160768561861127
11.460723517853493,11.202715502768779,13.149834696715786
11.456343053312517,11.260226538999659,13.046104787246039
11.570260722640029,11.374020827425458,13.081347307804133
11.990270101046216,11.28094282624541,14.763353108748216
11.640089056824037,11.401008455524844,13.481729196960016
11.484116086296172,11.20206509017763,13.374748346010104
11.49827608437992,11.120206174421059,13.796366154977521
11.64911351879231,11.273685502175306,13.511348515490212
11.658378350150214,11.410887324658075,13.45999525604739
11.45044336082982,11.182343004741453,13.306425027550688
11.514792037818665,11.288439384435158,13.299725153975636
11.49783957966971,11.31065296532937,12.915241497306194
11.489747946088654,11.262734512465265,13.335858911319818
11.618734050696471,11.282448263583028,13.247236549506765
11.497002634972189,11.2106607602283,13.075546961392531
11.532916170632417,11.217092325118669,13.084576277934332
11.510451841804917,11.213608902284872,13.458486763798208
11.50536067790422,11.274273370338477,12.94046667766353
11.455973830919916,11.276130552553441,13.012415374762433
11.50521329201949,11.131313018608731,13.324693913861775
11.739022481061937,11.409243611021958,13.563718339965678
11.579113003253994,11.121905062386574,13.84185980977506
11.620709918370832,11.222537759979504,13.590841834781603
11.742924295802847,11.30827732557615,13.596707029681447
11.533059691693849,11.266711268862789,13.461048091670659
11.46730520935814,11.19937154238708,13.192846115188841
11.55074605652682,11.165726007047045,13.552303109338354
11.474017558620751,11.084108732176146,13.681602998730868
11.65463183203026,11.34717852304985,13.220369632451394
11.46727458729969,11.162217910905053,13.500373714353374
11.455722761185493,11.205583533294101,13.03302144468291
11.468508148674225,11.244196700638454,13.090963076595731
11.605197248595742,11.41886818880874,13.286680969354931
11.540380841113977,11.292674800103596,13.090258052931317
11.478907896287298,11.263212650229509,13.000867721531227
11.496240607038118,11.292799012058206,12.960328050530142
11.60693980206617,11.237249449323533,13.389874558390986
11.51327785699237,11.12538961568003,13.56702636615906
11.57500106029024,11.322102288370846,13.177536499929863
11.472901157967994,11.280235945166107,12.959327645972172
11.590068834245818,11.251355695475402,13.458184435570264
11.47101965297536,11.139434609145018,13.123198075031999
11.516602763790564,11.284639551213557,13.101747073946367
11.589912088598764,11.258728598807036,13.375480714618572
11.538910318234755,11.235505730207487,13.782687568234966
11.623854870276055,11.391334530652141,13.32221929473392
11.450318514992482,11.253450873712362,12.910410939914689
11.487347905343704,11.252807976221497,12.920488564658298
11.533067290988793,11.282974074239572,13.045714058940868
11.512445835863213,11.249163894649765,13.141449773400467
11.672963548992037,11.421169491401015,13.32735893438633
11.644747131643857,11.271212804375036,13.728516104759766
11.573577450063306,11.246488050598874,13.235275876687053
11.520295453016187,11.328765304488224,13.065206128054312
11.680026653891703,11.399066122492053,13.265525335219074
11.459742242883756,11.213400008310028,13.526726867314636
11.477624199484026,11.135086136539067,13.205745540942662
11.453846210510713,11.144977149568275,13.193958978019188
11.50875939239749,11.240119178919976,13.066698550422995
11.55071971694931,11.342106439721505,13.078456818053292
11.497662320588558,11.180596720805951,13.04296907339318
11.545350104944605,11.262513774542622,13.11293997608408
11.537621102969794,11.298732818647155,13.066698550422995
11.649224515429667,11.361849652365175,13.244524511570084
11.754538720223602,11.285075382474714,13.896085085423286
11.649433429835245,11.41483473119054,13.768342058644533
11.823514403242065,11.466177514284068,13.682235356902565
11.648636955708248,11.35715807641758,13.178113252314631
11.762012618641862,11.306856546767051,14.178401341533755
11.529126137872263,11.19147706527785,13.68966396501577
11.80540037336701,11.519962029461848,13.54257647626053
11.450429795642094,11.163686170993232,13.250907699700855
11.56507190405201,11.179730365477926,13.37602918172818
11.486384884668036,11.222122535709948,13.01410032151962
11.520844933748108,11.08925010116501,14.109915863023794
11.510277802706241,11.256091728099113,13.254548077108973
11.617265664059655,11.38535163613966,13.273001272063738
11.482406095186644,11.23509033342058,13.167021795790257
11.47792399849251,11.253011354526611,13.173186268412275
11.719722984146543,11.365092410594652,13.668199484198661
11.492391282202222,11.233874918202615,13.003460532109507
11.6506190283616,11.284796638953418,13.429429264381788
11.460097026202634,11.240055116277546,12.991048776452676
11.728593471412943,11.525429593786626,13.323252100171688
11.455861056476659,11.265747062236303,12.847140617413407
11.52915334664913,11.307886665665377,12.981909170090793
11.497839055898263,11.183800615659294,13.45969397647797
11.681339393918567,11.31230963858677,13.419790586106362
11.521477292779299,11.229603842918483,13.001300933020419
11.538109895784647,11.23802139459137,13.053462604925455
11.710804626865075,11.328167045411432,13.426348573787507
11.748987067390944,11.497146251625928,13.564666064252089
11.620797482235375,11.346117525006896,13.157456768134226
11.487631370142175,11.105215776004735,13.44793286559218
